Kelas;Deskripsi
0XX;Ilmu komputer, informasi dan karya umum
010;Bibliografi
020;Ilmu perpustakaan dan informasi
030;Karya ensiklopedi umum
050;Terbitan berseri umum
060;Organisasi umum dan museologi
070;"Media dokumenter, pendidikan, berita; jurnalisme; penerbitan"
080;Koleksi umum
090;Manuskrip, buku langka, materi tercetak langka lainnya
1XX;Filsafat dan Psikologi
100;Filsafat dan Psikologi
110;Metafisika
120;Epistemologi, seba, manusia/orang/tokoh
130;Parapsikologi dan okultisme
140;Aliran dan titik pandang filsafati tertentu
150;Psikologi
160;Logika
170;Etika
180;Filsafat purba, abad menengah, timur
190;Filsafat barat modern dan non timur lainnya
2XX;Agama
200;Agama
210;Filsafat dan teori agama
220;Alkitab
230;"Kristianitas; Teologi Kristiani"
240;Moral Kristiani dan teologi devosi
250;Gereja Kristen dan ordo agama Kristen
260;Teologi sosial dan eklesiastik kristen
270;"Aspek historis, geografis, manusia mengenai Kristianitas; Sejarah gereja"
280;Denominasi dan sekte gereja Kristen
290;Agama-agama lain (Yunani, Germanik, Islam, Judaisme, dll)
3XX;Ilmu Pengetahuan Sosial
300;Ilmu pengetahuan sosial
310;Koleksi statistik umum
320;Ilmu Politik
330;Ekonomi
340;Hukum
350;Administrasi negara dan ilmu kemiliteran
360;"Masalah dan pelayanan sosial; perhimpunan"
370;Pendidikan
380;Perniagaan, komunikasi dan transportasi
390;Adat resam, folklor, etiket
4XX;Bahasa
400;Bahasa
410;Linguistik
420;Bahasa Inggris dan Inggris Kuno
430;"Bahasa Germanik; jerman"
440;"Bahasa Roman; Prancis"
450;Bahasa italia, Sardinia, Dalmatia, Roman, Rhaeto-Roman
460;Bahasa Spanyol dan Portugis
470;"Bahasa Italia; Latin"
480;"Bahasa Helenik; Yunani klasik"
490;Bahasa Lainnya
5XX;Sains
500;Ilmu pengetahuan alam dan matematika 
510;Matematika
520;Astromoni dan ilmu-ilmu berhubungan (bumi, mekanika langit, teknik, prosedur, benda langit, navigasi langit, geografi matematis)
530;Fisika
540;Kimia dan ilmu berkaitan (Mineralogi, Kimia anorganik, kimia organik, kimia fisik, kimia analitis, dll)
550;Ilmu kebumian
560;"Paleontologi; Paleozoologi"
570;"Ilmu Hayati; Biologi"
580;Tumbuhan
590;Hewan
6XX;Teknologi
600;Teknologi
610;Kedokteran dan kesehatan
620;Teknik (Rekayasa, enjinering dan kegiatan berkaitan)
630;Pertanian dan teknologi berkaitan
640;Manajemen keluarga dan rumah tangga
650;Manajemen dan ilmu-ilmu bantu lainnya
660;Teknik kimia
670;Manufaktur
680;Manufaktur produk untuk keperluan tertentu
690;Bangunan
7XX;Kesenian
700;"Kesenian; Seni rupa dan dekorasi"
710;Seni perkotaan dan lanskap
720;Arsitektur
730;"Seni plastik; Patung"
740;Seni menggambar dan dekorasi
750;Melukis dan lukisan
760;"Seni grafis; Pencetakan dan cetakan"
770;Fotografi, foto, seni komputer
780;Musik
790;Seni hiburan dan pertunjukan
8XX;Sastra
800;Sastra dan retorika
810;Sastra Amerika dalam bahasa Inggris
820;Sastra Inggris dan Inggris Kuno
830;"Sastra bahasa Jerman; Sastra jerman"
840;"Sastra Roman; Sastra Prancis"
850;"Sastra Italia, Sardinia, Dalmatia, Roman, Rhaeto-Roman; Sastra Italia"
860;Sastra Spanyol dan Portugis
870;"Sastra bahasa-bahasa Italia; Sastra Latin"
880;"Sastra bahasa-bahasa Yunani; Sastra Yunani Klasik"
890;Sastra dari Bahasa lainnya
9XX;Geografi dan Sejarah
900;Sejarah, geografi dan disiplin bantu lainnya
910;Geografi dan perjalanan
920;Biografi, genealogi, insinye
930;Sejarah dunia purba
940;"Sejarah Eropa; Eropa Barat"
950;"Sejarah Asia; Oriental Timur Jauh"
960;Sejarah Afrika
970;Sejarah Amerika Utara
980;Sejarah Amerika Selatan
990;"Sejarah bagian lain dunia, dunia ekstraterestrial; Kepulauan Lautan Pasifik"
